FoodId,FoodName,IsMainDish,SchoolId,IngredientNames,AllergenNames,TotalKcal
1,Cơm gà xé,True,30530086-D3B5-4F39-9333-43061157E6A3,"Gạo trắng, Ức gà",,255.0
2,Súp cà rốt,True,30530086-D3B5-4F39-9333-43061157E6A3,Cà rốt,,32.8
3,Yogurt trái cây,False,30530086-D3B5-4F39-9333-43061157E6A3,Sữa chua,Milk,59.0
1002,Cơm gà sốt mật ong,True,30530086-D3B5-4F39-9333-43061157E6A3,"Nạc ức gà, Gạo trắng, Cà rốt, Bông cải xanh, Dầu ô liu",,638.2
1003,Bò xào rau củ,True,30530086-D3B5-4F39-9333-43061157E6A3,"Thịt bò thăn, Gạo trắng, Cà rốt, Bông cải xanh, Dầu ô liu",,679.8
1004,Cá hồi áp chảo sốt chanh,True,30530086-D3B5-4F39-9333-43061157E6A3,"Cá hồi phi lê, Gạo trắng, Bông cải xanh, Dầu ô liu",,608.4
1005,Đậu hũ kho nấm rau củ,True,30530086-D3B5-4F39-9333-43061157E6A3,"Đậu hũ trắng, Gạo trắng, Cà rốt, Bông cải xanh, Dầu ô liu",,484.92
1006,Mì Ý sốt thịt băm,True,30530086-D3B5-4F39-9333-43061157E6A3,"Thịt bò thăn, Mì spaghetti, Cà chua, Dầu ô liu",,556.9
1007,Trứng cuộn rau củ,True,30530086-D3B5-4F39-9333-43061157E6A3,"Trứng gà, Gạo trắng, Cà rốt, Bông cải xanh",,475.5
1008,Salad rau củ trộn dầu ô liu,False,30530086-D3B5-4F39-9333-43061157E6A3,"Bông cải xanh, Cà chua, Dưa leo, Dầu ô liu",,71.4
1009,Salad trái cây,False,30530086-D3B5-4F39-9333-43061157E6A3,"Sữa chua không đường, Táo, Nho",,88.3
1010,Canh cà rốt khoai tây,False,30530086-D3B5-4F39-9333-43061157E6A3,"Khoai tây, Cà rốt",,81.4
1011,Súp bí đỏ (giả lập bằng khoai tây + cà rốt),False,30530086-D3B5-4F39-9333-43061157E6A3,"Khoai tây, Cà rốt, Bơ lạt",,108.55
1012,Sữa chua trái cây,False,30530086-D3B5-4F39-9333-43061157E6A3,"Sữa chua không đường, Táo, Nho",,88.7
1013,Khoai tây nghiền bơ,False,30530086-D3B5-4F39-9333-43061157E6A3,"Khoai tây, Bơ lạt",,158.7
1014,Phở Bò,True,30530086-D3B5-4F39-9333-43061157E6A3,"Bánh phở, Thịt bò, Xương bò, Hồi, Quế, Thảo quả, Gừng, Hành tây",,1508.0
1015,Phở Gà,True,30530086-D3B5-4F39-9333-43061157E6A3,"Bánh phở, Gừng, Hành tây, Thịt gà ta, Xương gà, Lá chanh",,679.0
1016,Bún Bò Huế,True,30530086-D3B5-4F39-9333-43061157E6A3,"Bún, Bắp bò, Giò heo, Mắm ruốc, Sả, Ớt, Huyết",,888.0
